cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius
residential-sell,apartment-sell,pardis-city,,11/1/2024 0:00,,"سردرب عالی 
ویو عالی بدون مشرف 
نصبیات نصب شده
واحد نقاشی شده
عرصه تسویه 
وام بروز ورودی تسویه
دسترسی عالی
✔️مناسب برای مصرف کننده
✔️فایلهای مشابه موجوداست
✔️تو هر رنج قیمت که بخواین 
مشاور مورد اعتماد شما‌‌‌‌‌‌...فرزین✔️",فاز ۱۱ زون ۲ ساخت شرکت کوزو ترکیه,,,,,مقطوع,2600000000,,,,,,,,,,87,other,,4,دو,14,4,TRUE,TRUE,TRUE,TRUE,۱۴۰۳,TRUE,,package,,,shoofaj,water_cooler,squat_seat,,,north,,,,ceramic,,,,,,,,35.77866364,51.75754929,
residential-rent,apartment-rent,tehran,gisha,8/1/2024 0:00,مشاور املاک,"‼️‼️ارزنده ترین واحد منطقه ‼️‼️ 

✅ 91 متر با 2 خواب بزرگ     
  
✅ بسیار خوش نقشه بدون فضای پرتی  
 
✅ سالن پرده خور با پنجره های قدی

☀️ آفتاب مستقیم عالی 

✅ پاسیو (حیاط خلوت) بزرگ
 
✅ مشاعات تمیز   
  
✅ دسترسی عالی به بوستان گفتگو و حمل و نقل عمومی 
  
⬅️ تخفیف پای قرارداد 

☑️با من وفا ، مشاور تخصصی اجاره در منطقه در تماس باشید 

               ☑️ پایان جستجو شما افتخار ما☑️",گیشا / ۹۱ متر /فرعی زوج مشرف به پارک گفتگو/ ارزنده,مجانی,0,,rent_credit,,,مقطوع,1200000000,TRUE,TRUE,1200000000,800000000,0,12000000,,91,,,1,دو,5,,TRUE,FALSE,TRUE,TRUE,۱۳۸۵,TRUE,,,,,,,squat_seat,,,south,,,,,,,,,,,,35.73395157,51.3806076,500
residential-sell,apartment-sell,mashhad,farhang,6/1/2024 0:00,,"با سلام

✨✨ شما لایق بهترین ها هستید ✨✨

✅ سازنده مطرح  منطقه
✅ قبل از فرهنگ و نزدیک مترو 
✅ کلید موجود

☑️ طراحی مدرن و زیبا
☑️ ۱۶۹متر
✅ارتفاع مفید سقف هر طبقه ۳/۳۰ متر
☑️ کف سرامیک نانو ضد خش
✅ آشپزخانه بزرگ و پر کابینت
☑️ کابینت مدرن با روکش سنگ طبیعی
☑️ سیستم روشنایی هوشمند
☑️ پذیرایی بزرگ با نورگیر تالاری
✅ خوش نقشه 
☑️ هر سه خواب دارای کلوزت بزرگ

✅ مخصوص سخت پسندان ✅

                   ❎ بازدید = خرید ❎

در صورت کمبود نقدینگی قابلیت رهن تا دو میلیارد و پانصد میلیون را دارد 

⭕️‼️۳ مورد زیر قیمت منطقه جلال آل احمد قبل از فرهنگ و قبل از معلم دارم که میتونم تقدیم خریداران گرامی کنم ⭕️‼️

⚜️ میتوانید در هر ساعت از شبانه روز تماس بگیرید از این موارد مطلع شوید ⚜️

‼️مـشاور تخـصصی جلال وکیل آباد سیدرضی و هاشمیه‼️
✅ حامد دین محمدی

✅ کـارگـزاری املاکـ رادمان  ✅

بین فـرهنگ ۶ و ۸ جنب فروشگاه افق کـوروش",تاپ لوکیشن جلال سروش ۱۶۹متر کلید موجود قبل فرهنگ,,,,,مقطوع,12990000000,,,,,,,,,,169,single_page,,2,سه,6,1,TRUE,TRUE,TRUE,TRUE,۱۴۰۳,FALSE,,package,,,duct_split,duct_split,squat_seat,,,south,,,,ceramic,,,,,,,,36.32183075,59.5245018,500
commercial-sell,shop-sell,foolad-shahr,,7/1/2024 0:00,,مغازه فروشی بازار هنر 16متر پاخور عالی,مغازه ب8بازار,,,,,مقطوع,850000000,,,,,,,,,,16,,FALSE,,بدون اتاق,,,,,,,۱۴۰۰,,,,,,,,,,,,,,,,,,,,,,,32.46780396,51.4040947,
residential-sell,plot-old,ahvaz,pardis-ahvaz,7/1/2024 0:00,,یک زمین به متراژ۵۰۰متر واقع کوی سادات خیابان چهارم فرعی چهارم منطقه تراکوی سازی پشت مسجد اهل بیت با سند ثبتی سر دو نبش دو خیابان سمت زمین یکی خیابان بزرگ بغل زمین یه خیابون جلوی در  با مشتری واقعی کنار میام,زمین۵۰۰ متر,,,,,مقطوع,800000000,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.26594734,48.56860352,
commercial-rent,office-rent,rasht,moalem,6/1/2024 0:00,مشاور املاک,"✅ تجاری 
✅سه اتاقه
✅ ۸۵متر مفید
✅ آسانسور
✅ شوفاژ 
✅ شومینه
✅ آبدارخانه
✅ سرامیک
✅ فاز یک معلم
✅ تخلیه 


⭕️املاک آفتاب
⭕️معلم چهارراه علی آباد
⭕️ساختمان گیشا
⭕️شهریار کولائی",تحاری ۸۵ متر سه اتاقه طبقه ۵ فاز یک معلم,مقطوع,18000000,,rent_credit,,,مقطوع,100000000,FALSE,FALSE,100000000,,18000000,,,85,,,5,دو,,,,TRUE,FALSE,FALSE,۱۳۹۰,,,,,,,,,,,,,,,,,,,,,,,,,
residential-sell,plot-old,tehran,shahrak-naft-district5,7/1/2024 0:00,,"۷۰۰ متر باغ ۱۰۰ ساله،
واقع در روستای زیبای رندان،
خیابان آبشار (بهترین خیابان روستا - قسمت تهران نشین)
خارج از بافت بومی روستا،
دارای آب، برق، گاز، تلفن (برای خرید اشتراک باید اقدام شود)
بِکر و دست نخورده،
داخل بافت،
مناسب برای ساخت بومگردی و گردشگری یا رستوران یا ساخت ویلا،
(برای ساخت ویلا یا رستوران باید مراحل اداری طبق روال طی شود)
طبق نقشه ای که تصویر آن را گذاشته ام،
۲ قطعه زمین هست و از وسط آن رودخانه رد شده است،
(حریم رودخانه حفظ شده است)
فاصله از فلکه دوم شهران تا باغ، ۲۵ دقیقه،
دارای سند شورایی،
می توانید با پرداخت هزینه،
سند تک برگ دریافت کنید،
همسایه های اطراف،
سند تک برگ دریافت کرده اند،
دارای درختان ۱۰۰ ساله ی گردو، تبریزی و درخت گیلاس،
لطفاً قبل از خرید تشریف ببرید قیمت هارو دقیق از املاک روستا و املاک های اطراف سوال کنید،
بعد برای خرید تماس بگیرید،
به علّت نیاز مالی فروشنده شدم،
وگرنه نمی فروختم،
۱۰۰ ساله که مالک این باغ هستیم و از قدیمی های روستا هستیم،

<<<<< امکان تهاتر با آپارتمان یا خودرو وجود دارد >>>>>",تهاتر یا فروش باغی زیبا در روستای زیبای رندان,,,,,مقطوع,18000000000,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.89018631,51.28019714,
residential-rent,apartment-rent,mahabad,,9/1/2024 0:00,شخصی,اجاره یک آپارتمان تعاونی ۱۶ طبقه اول واقع در پجر پایین مسکن مهر ،دارای کابینت و پرده و پکیج و رادیات روی خیابان اصلی,اجاره آپارتمان مسکن مهر,مقطوع,6000000,,rent_credit,,,مقطوع,100000000,FALSE,FALSE,100000000,,6000000,,,75,,,1,دو,,,TRUE,TRUE,TRUE,TRUE,۱۳۹۸,,,package,,,shoofaj,,squat,,,,,,,ceramic,,,,,,,,,,500
residential-rent,apartment-rent,shiraz,farhangshahr,8/1/2024 0:00,مشاور املاک,"✳️بنام یزدان پاک✳️

️دپارتمان تخصصی املاک ایران️

✅دسترسی ایده آل
✅یکی از بهترین فرعی های منطقه
✅ساختمان کم واحد وخلوت
✅آشپزخانه MDF
✅گازصفحه ای
✅کاغذدیواری
✅سرویس ایرانی وفرنگی

✅تاپیدا کردن واحد رویایی خود همراه شما هستیم
✋برای اطلاع از فایلهای مشابه لطفا تماس بگیرید
                    ⬇️آدرس ما
⬅️قدوسی شرقی خیابان صداوسیما نبش کوچه 13 (کوچه 60 پاسداران)",آپارتمان/2خواب/میدان معلم,مقطوع,15000000,,rent_credit,,,مقطوع,250000000,FALSE,FALSE,250000000,,15000000,,,100,,,0,دو,,,,TRUE,TRUE,TRUE,۱۳۹۰,,,,,,,,,,,,,,,,,,,,,,,,,500
residential-sell,plot-old,gonabad,,11/1/2024 0:00,,"دو قطعه ۵۰۰ متری 
از اراضی محدوده چاه پور ابراهیم رهن
فاصله ملک تا جاده رهن ۵۰۰ متر
از جوی آب آب میگیره و ماشین رو هم هست
مناسب برای احداث باغ ، دامداری و...
با این شماره تماس بگیرید 
صفر نه یک پنج صفر سه نه یک سه نه پنج",دو قطعه ۵ من در محدوده چاه پور ابراهیم (رهن),,,,,مقطوع,150000000,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.33343506,58.65531921,0
