cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius
commercial-rent,shop-rent,lavasan-city,,11/1/2024 0:00,,"سیستم سرمایش و گرمایش - کف پارکت - نور پردازی کامل - کاغذ دیواری - طبقه بندی شده
پاساژ هدیش",مغازه - ۲۷ متر,مقطوع,15000000,,,,,مقطوع,150000000,FALSE,FALSE,150000000,,15000000,,,27,,,,بدون اتاق,,,,,,,۱۳۸۸,,,,,,,,,,,,,,,,,,,,,,,35.82004166,51.63162231,0
residential-rent,apartment-rent,tehran,pirouzi,5/1/2024 0:00,مشاور املاک,"⬅️چهار طبقه تک واحدی طبقه دوم
⬅️کابینت MDF
⬅️دو‌ خواب تخت خور
⬅️کف سنگ
⬅️سرویس ایرانی 
⬅️آسانسور
⬅️پارکینگ موتور
⬅️انباری سندی
⬅️نما و مشاعات تمیز
⬅️گذر پهن امکان پارک خودرو
⬅️گرمایش شوفاژ و پکیج
⬅️اجاره به زوج و خانواده 
⬅️تخلیه یک هفته پس از عقد قرارداد
⬅️واقع در امیر بهمن دریاباری
⬅️بازدید ۷ الی ۹ شب
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»
پیروزی امیر بهمن دریاباری پلاک ۲۸ املاک‌ ثقفی",۶۵متر/تک واحد/دریاباری/آسانسور/تخلیه,مقطوع,4000000,,rent_credit,,,مقطوع,450000000,FALSE,FALSE,450000000,,4000000,,,65,,,2,دو,,,,TRUE,TRUE,FALSE,۱۳۹۹,,,,,,,,,,,,,,,,,,,,,,,,,
commercial-sell,office-sell,isfahan,aineh-khaneh,10/1/2024 0:00,,آدرس : چهارباغ بالا ، جنب ساختمان بورس ، مجموعه ی آیینه ی شهر,دفتر اداری ۵۰ متری چهارباغ بالا,,,,,مقطوع,15000000000,,,,,,,,,,50,,TRUE,4,یک,,,,TRUE,FALSE,TRUE,۱۴۰۳,,,,,,,,,,,,,,,,,,,,,,,32.63644409,51.66663742,
residential-rent,apartment-rent,mashhad,sayyadshirazi,9/1/2024 0:00,,آپارتمان بدون مالک .دسترسی نزدیک به ایستگاه اتوبوس.محله بازارونانوایی.درمانگاه شبانه روزی داروخانه.دسترسی آسان به مترو,50متری یک خواب صیاد54 .54/1.خانواده یا خانم موجه,مقطوع,500000,,,,,مقطوع,150000000,FALSE,FALSE,150000000,,500000,,,50,,,1,یک,3,1,FALSE,FALSE,TRUE,FALSE,۱۳۸۹,TRUE,,water_heater,,,heater,water_cooler,squat,,,south,,,,ceramic,,,,,,,,,,
residential-sell,plot-old,arak,,5/1/2024 0:00,,یک قطعه باغ به متراژ ۴۲۰۰ متر که ۱۲۰۰ مهران درخت گردو بادام کهن می‌باشد با باردهی عالی دارای استخر مجزا لوله کشی کامل ۳۰۰۰ متر نهال ۴ ساله گیلاس و بادام با استخر مجزا و لوله کشی دارای چاه آب مجوز دار و ۹ روزی ۳ ساعت آب نزدیک جاده  روستای کتیران بالا,باغ به متراژ ۴۲۰۰ متر,,,,,مقطوع,1700000000,,,,,,,,,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential-rent,apartment-rent,urmia,,10/1/2024 0:00,,"به نام خدا باسلام
داحد۸۰متری۲خوابه شیک و تمیز.
عکس واحدگذاشته شده.
طبقه دوم.
تبدیل وتمدید داره.
امکانات کامله
هود گازرومیزی کابینت پرده 
پارکینگ آسانسور انباری 
لطفا املاک تماس نگیره.
برای دریافت شماره تماس در چت دیوار پیام بگذارید.
ادرس ملک
بهداری خیابان سنگی.",یک واحد۸۰متری ۲خوابه در بهداری,مقطوع,3000000,,,,,مقطوع,130000000,FALSE,TRUE,130000000,70000000,3000000,4800000,,80,,,2,دو,5,2,TRUE,TRUE,TRUE,TRUE,۱۳۹۶,TRUE,,package,,,shoofaj,air_conditioner,squat,,,,,,,ceramic,,,,,,,,37.50814819,45.06971359,
residential-sell,plot-old,sirjan,,6/1/2024 0:00,,زمین مسکونی فیروزه همراه با قلنامه ونامه از دهیاری,زمین مسکونی,,,,,مقطوع,200000000,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.46010208,55.59506607,
residential-sell,apartment-sell,tabriz,,12/1/2024 0:00,,"املاک بهارستان 
فروش آپارتمان نقلی 
قیمت مناسب زبر قیمت بازار
سند آزاد قابل برداشت وام 
اطلاعات بیشتر زنگ بزنید
خرید یا فروش ملکتان را به ما بسپارید 
املاک بهارستان 
آدرس دفتر اندیشه نبش چهارراه پاسگاه",فروش آپارتمان ۵۱ متر اندیشه/ مهستان,,,,,مقطوع,1070000000,,,,,,,,,,51,,,2,یک,,,,FALSE,FALSE,TRUE,۱۳۹۳,FALSE,,,,,,,,,,,,,,,,,,,,,,38.0345993,46.20537186,
residential-rent,apartment-rent,tehran,hekmat,10/1/2024 0:00,,"♻️♦️کل عکسهای واحد موجود میباشد♻️

✅️ مشخصات دقیق میباشد
✅️قابل تبدیل نیز میباشد

⚜️آپارتمان ۱۶۰ متری نقشه تفکیکی
⚜️تی وی روم مجزا
⚜️سه خواب + یک مستر

▶️۶طبقه دو واحدی
▶️طبقه اول(روی لابی)
✅️نور شمال و جنوب

▶️پارکینگ .انباری.اسانسور
▶️لابی  ،  سرایداری مقیم

مشاور شما ، فلاحی
مسکن پایا اندرزگو",اندرزگو ۱۶۰ متری,مقطوع,60000000,,,,,مقطوع,1500000000,FALSE,TRUE,1500000000,3500000000,60000000,0,,160,,,1,سه,6,2,FALSE,TRUE,TRUE,TRUE,۱۴۰۱,FALSE,,package,,,duct_split,duct_split,squat_seat,,,south,,,,stone,,,,,,,,35.79918671,51.44571686,500
commercial-sell,shop-sell,tehran,shahrak-e-kianshahr,9/1/2024 0:00,,مغازه به متراژ ۲۵ متر در پاشاژ بورس طلا و لوازم آرایشی و بهداشتی,مغازه در پاساژ بورس طلا و لوازم آرایشی و بهداشتی,,,,,,,,,,,,,,,,25,,TRUE,,بدون اتاق,,,,,,,۱۳۹۵,,,,,,,,,,,,,,,,,,,,,,,,,
residential-sell,house-villa-sell,chamestan,,12/1/2024 0:00,,"…ویلا باغچه فلت نما مدرن 
۱۶۰ متر زمین  ۹۰ متر بنا ۲ خواب مستر
 … سندتک‌برگ مدارک کامل
 …شهرکی با نگهبانی دائم
۵ دقیقه تا جنگل و دریا
 …شرایط پرداخت عالی وبی بهره/معاوضه باخودرو
 …اقامت رایگان جهت بازدید.
 …همین الان تماس بگیر راهنماییت کنم",ویلا باغچه ۱۶۰ متر شهرکی سندتکبرگ,,,,,مقطوع,500000000,,,,,,,,,160,90,single_page,,,دو,,,TRUE,,TRUE,TRUE,۱۴۰۲,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,jungle,,,,,,,36.4790802,52.11728287,500
residential-sell,house-villa-sell,amol,,12/1/2024 0:00,,"فروش ویلایی خیابان امام رضا
۱۰۰ متر زمین
۸۰ متر بنا دو خواب
دارای پارکینگ
قابلیت ساخت طبقه بالا
اتاق مطپخ
کابینت mdf

مشاورین املاک عارف",فروش خانه ویلایی خیابان امام رضا,,,,,مقطوع,2000000000,,,,,,,,,100,80,,,,دو,,,TRUE,,TRUE,TRUE,۱۳۹۰,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,,,,,,
residential-sell,plot-old,Kordkuy,,12/1/2024 0:00,,متری یک میلیون و پانصد,زمین کنار هتل ۱۰۰۰ متر,,,,,مقطوع,1500000000,,,,,,,,,,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.79849243,54.10438538,
residential-sell,apartment-sell,hamedan,,11/1/2024 0:00,,"آپارتمان واقع در دره مراد بیگ، قبل از میدان اول دره،، سر بر نور،  در محیط آب و هوایی عالی، خوش نقشه و بدون پرتی، پنجره ها 2 جداره، درب سرویس بهداشتی و حمام upvc، گزینه ی خوب برای رهایی از مستاجری، به مشتری تخفیف خوبی میدم
تعویض م میکنم با آپارتمان داخل شهر",دره مراد بیگ,,,,,مقطوع,2250000000,,,,,,,,,,90,written_agreement,,1,دو,4,1,TRUE,FALSE,FALSE,FALSE,۱۳۸۵,FALSE,,,,,,,,,,,,,,,,,,,,,,34.75653458,48.51057434,
residential-sell,plot-old,yasuj,,8/1/2024 0:00,,عرض ۱۵×39_نسق دارد_خیابان ۸ متری پیاده شده_اطرف ملک قطعه بندی شده _اطراف ملک ۴ ردیف بلوک دیوار کشی شده. ادرس بالاتر از شهرک جوشکاری ،جنب قطعات اساتید علوم پزشکی.,۵۸۵ متر شرف اباد عرض ۱۵ متر مناسب ۱۶ واحدی,,,,,مقطوع,1640000000,,,,,,,,,,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.67789078,51.54223633,
residential-sell,apartment-sell,qods-city,,5/1/2024 0:00,,"سلام و درود

واحد سند تک برگ
کابینت شده
هود و گازصفحه ای
آیفون تصویری
کمد دیواری
رو به نما
انباری و بالکن بزرگ
کف سرامیک


✅️موقعیت ملک:ابریشم


◀️مشاور شما:خانم پارسا

◀️ادرس دفتر:شهرقدس بلوار جمهوری نبش ک فهمیده املاک پالادیوم",اپارتمان ۵۵ متر/سندار/ابریشم,,,,,مقطوع,2130000000,,,,,,,,,,55,,,3,یک,,,,FALSE,TRUE,FALSE,۱۳۸۸,FALSE,,,,,,,,,,,,,,,,,,,,,,35.71057892,51.12120438,
commercial-rent,shop-rent,mohammadieh,,12/1/2024 0:00,,"^ در کـمـتـریـن زمـان واحـد مـورد نـظـرتـان را پـیـدا کـنـیـد ^

قابل توجه مشاغل لوکس و تمیز 
امکانات و دسترسی فوق العاده 
بسیار شیک و خوش نقشه 
کفپوش تا سقف سرامیک 
دارای تمامی انشعابات 
امکانات کرکره برقی ، درب ورودی برقی ریموت دار ، سرویس بهداشتی و ...
نوساز کلید نخورده 
آماده تحویل 


آدرسـ آژانـس : منطقه 5 بلـوار بهشتـی نبـش سـرو 47 روبه رو لـالـه 12",مغـازه / بلوار بهشتی / لاله 12,مقطوع,4000000,,,,,مقطوع,600000000,FALSE,TRUE,600000000,500000000,4000000,7000000,,60,,,,یک,,,,,,,۱۴۰۳,,,,,,,,,,,,,,,,,,,,,,,36.22872925,50.17596436,500
residential-sell,house-villa-sell,nur,,8/1/2024 0:00,مشاور املاک,❌❌ قوی ترین فایلینگ منطقه❌❌ زمین :150 بنا:90 ۲خواب انشعابات نصب  دارای سند تک برگ مجوزوپایان کار شهرکی و نگهبانی۲۴ساعته  با بیش از ۱۰۰۰آگهی فعال در سایت دیوار و ۲۰۰۰فایل واقعی موجود در منطقه چمستان، آمل، محمود آباد  ❌❌رزومه ما اعتبار ماست❌❌  یک سوم پیش پرداخت الباقی اقساط بلند مدت  ✅عضو اتحادیه املاک با صدور کدرهگیری ____ ❇️شرایط بصورت نقد و اقساط بدون بهره ❇️تخفیف پای میز قرارداد ❇️معاوضه با خودرو ____ ✅جهت کسب اطلاعات درمورد ویلاهای به قیمت تماس بگیرید ✅تو هر رنجی قصد سرمایه گذاری دارید سقف انتخابیتون رو برام ارسال کنید ✅اسکان و بازدید رایگان همه روزه    شروع‌قیمت ویلا از 1300 شروع‌قیمت زمین از 300,ویلا نما مدرن‌ ویو جنگل کل ۳ میلیارد,,,,,مقطوع,160000000,,,,,,,,,100,170,single_page,,,دو,,,TRUE,,TRUE,TRUE,۱۴۰۳,,TRUE,package,TRUE,TRUE,shoofaj,air_conditioner,squat_seat,TRUE,,east,,,,ceramic,beach,,,,,,,36.57543564,52.02645874,500
residential-rent,apartment-rent,tehran,sarsabil,9/1/2024 0:00,مشاور املاک,"✔️110متر/دو خواب/طبقه سوم
✔️خوش نقشه و نورگیر عالی 
✔️بهترین لوکیشن و دسترسی منطقه 
✔️بهترین کوچه منطقه 
✔️دسترسی کمتر از 10دقیقه به مترو 
✔️دسترسی به امکانات محلی و رفاهی
✔️سالن پرده خور وقابل چیدمان  

✔️تخلیه/کلید نخورده/بازدید آزاد


✔️فول امکانات فول نصبیات فول متریال

✔️هلدینگ بزرگ سام 

کارشناس امور ملکی:بابایی",آپارتمان110متری/دوخوابه/دامپزشکی تقاطع خوش,مجانی,0,,rent_credit,,,مقطوع,1200000000,FALSE,FALSE,1200000000,,0,,,110,,,3,دو,,,TRUE,TRUE,FALSE,TRUE,۱۴۰۳,,,,,,,,,,,south,,,,stone,,,,,,,,35.69324493,51.37308884,500
residential-sell,apartment-sell,isfahan,shahrak-milad,10/1/2024 0:00,,"آپارتمان جنوبی 
دسترسی آسان به مراکز خرید
لوکیشن عالی



جامع ترن منبع فایل در هر رنج و سلیقه ای 
اعتماد شما اعتبار ماست 
مشاور شما احمد سلطانی",آپارتمان ۸۲ متری فول امکانات,,,,,مقطوع,2730000,,,,,,,,,,82,single_page,,2,دو,4,2,TRUE,TRUE,TRUE,TRUE,۱۳۹۸,TRUE,,package,,,shoofaj,split,squat_seat,,,south,,,,ceramic,,,,,,,,,,
residential-sell,apartment-sell,kish,,8/1/2024 0:00,مشاور املاک,"واحد شیک یکخواب فول دیزاین
دو سرویس فرنگی یکخواب مستر شیک
۱۷ متر تراس

اکبرزاده",فروش برج مینارزیدنس یکخواب (مرجان),,,,,مقطوع,7200000000,,,,,,,,,,48,,,3,یک,,,,TRUE,TRUE,TRUE,۱۳۹۳,,,,,,,,,,,,,,,,,,,,,,,,,500
temporary-rent,villa,mashhad,emamreza,10/1/2024 0:00,,"با سلام خدمت مهمانان عزیز
اجاره باغ ویلا
استخر سرپوشیده آب گرم و جکوزی فعال
با تصویر ۲۴ ساعت خودکار
امکانات
 بیلیارد
 فوتبال دستی
 ps5
 سیستم صوتی و تصویری 
ماهواره
دو خواب مستر
سیستم سرمایشی
گرمایش از کف شوفاژ
لوازم آشپزخانه تکمیل
لباسشویی ال جی
حمام
سرویس بهداشتی ایرانی و فرنگی
نورپردازی عالی
آلاچیق 
باربیکیو زغالی و گازی
 آتشکده
فضای سبز و درختکاری شده
سرسبز و دلنشین
پارکینگ به تعداد ۵ ماشین
آب و برق گاز شهری
دسترسی به شهر
تحویل مستقیم از مالک بدون واسطه
بازدید همه روزه
ملک شخصی
جهت رزرو تماس بگیرید
لوکیشن عالی
موقعیت طرقبه",اجاره باغ ویلا استخردارجکوزی فعال شیک و تمیزشاندیز,,,,,,,,,,,,,,,,850,,,,سه,,,,,,,,,,,,,,,,,,,,,,,,8,7,,1500000,,2500000,,,
residential-sell,plot-old,shandiz-city,,9/1/2024 0:00,,"با سلام 
فروش یک قطعه زمین در شاندیز  امام رضای ۲۰ انتهای ارگ ۵
دارای سند تک برگ برق واب چاه از مدار
جهت کسب اطلاعات بیشتر لطفاً تماس بگیرید.
درضمن موارد رهن و اجاره آپارتمان و ویلایی در شهر زیبای شاندیز موجود می‌باشد.
فروش یک قطعه زمین دور دیواری و دارای بنا داخل بافت به متراژ ۳۲۰ متر فقط یک میلیاردو پانصد.
خرید وفروش قطعات تعاونیها نخریسی نهضت آستان قدس حصارسرخ تایباد حصارسرخ
فراز بوشهر ثبت اراضی بهزیستی و.....",خرید وفروش زمین شاندیز راضی کوهدشت وتعاونی ها,,,,,مقطوع,700000000,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.39884186,59.30754089,
residential-sell,plot-old,sabzevar,,7/1/2024 0:00,,"خانه باغ همراه با مرغداری مناسب برای ویلا سازی ، دامداری ، مرغداری و..... قیمت مناسب، عالی برای سرمایه گذاری.
خرید و فروش باغ ، ویلا زمین 
خرید و فروش زمین های سجاد شهر ، توحید شهر 
توحید شهر خیابان حافظ املاک کوهستان 
سنگ سفید حاشیه جاده املاک کوهستان 
محدثی نیا",خانه باغ همراه با سالن مرغداری سنگ سفید,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.34643173,57.69541931,
residential-sell,plot-old,pardis-city,,7/1/2024 0:00,مشاور املاک,"با سلام ✅✅
.....................
فروش زمین 200 و 400 متری داخل شهرک ....✅
.....
دارای امتیاز اپارتمان ...✅
.....
.....
........
60%تراکم ساخت 2طبقه روی پیلوت ..✅✅
.....
منطقه ویلایی ..✅✅
..
دارای سند قابلیت نقل و انتقال ...✅
....
منطقه ای بینظیر جهت سرمایه گذاری کوتاه مدت ...✅
....
ورودی و خروجی مجزا ....✅✅
.........
دارای گیت نگهبانی 24 ساعته ....✅
....
خیابان 26 متری ....✅
جدول کشی شده ....
.....
جهت کسب اطلاعات بیشتر تماس حاصل فرمایید ....✅
......",زمین ۲۰۰ متر سند دار قابل استعلام پردیس فاز ۱۰,,,,,مقطوع,600000000,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
residential-sell,apartment-sell,isfahan,dashtestan,12/1/2024 0:00,,"❇️ دفتر مهندسی و املاک حمید شعبه مرکزی ❇️
➖➖➖➖➖➖➖➖➖
آدرس دفتر: بیست و چهار متری اول(شیخ طوسی غربی)
                 نبش کوچه شماره نوزده
➖➖➖➖➖➖➖➖➖
✔️کد پیگیری:۳۷۲۳۳
➖➖➖➖➖➖➖➖➖
♦️اطلاعات آپارتمان:
✅واحد "" ۱۴۵ "" متری
✅طبقه‌ی "" ۴ ""
✅تعداد اتاق خواب "" ۳ ""
✅آسانسور"" دارد ""
✅انباری"" دارد ""
✅پارکینگ"" دارد ""
✅تعداد واحد در هر طبقه"" ۳واحدی ""
صفر 
خوش نور و نقشه

‼️موارد مشابه موجود می‌باشد
‼️جهت اطلاعات بیشتر تماس بگیرید",واحد ۱۴۵متری ۳ خواب غرق نور شیک دسترسی پروین,,,,,مقطوع,5680000000,,,,,,,,,,145,single_page,,4,سه,5,3,TRUE,TRUE,TRUE,TRUE,۱۴۰۳,FALSE,,package,,,shoofaj,water_cooler,squat_seat,,,south,,,,ceramic,,,,,,,,32.68411636,51.71621323,500
residential-sell,house-villa-sell,tabriz,,7/1/2024 0:00,,خانه‌درعباسی‌دربست,خانه‌درعباسی‌دربست‌سند‌شش‌دانگ‌‌,,,,,مقطوع,1550000000,,,,,,,,,60,60,,,,یک,,,FALSE,,TRUE,FALSE,۱۳۸۵,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
residential-rent,apartment-rent,tehran,abdol-abad,8/1/2024 0:00,,"واحد حدود یک هفته ♡♡تازه نقاشی شده ♡ ،دو خواب و یک خواب مستر ،کولر گازی ،کابینت های گلس ترک ،کوچه ۱۲ متری ،پارکینگ بدون مزاحم، واحد در خیابان لقمان جنوبی ،بن بست دوم شقایق هست ،♡♡♡واحد تخلیه شده است♡♡♡
 ...مالک جمالی هستم",آپارتمان ۷۵ متر، دو خوابه ،روشنایی رو به باغ,مقطوع,7500000,,,,,مقطوع,500000000,FALSE,TRUE,500000000,750000000,7500000,1000,,75,,,2,دو,5,2,TRUE,TRUE,TRUE,TRUE,۱۴۰۰,FALSE,,package,,,shoofaj,air_conditioner,squat_seat,,,south,,,,ceramic,,,,,,,,35.63817978,51.35982132,500
residential-sell,house-villa-sell,mahmudabad,,6/1/2024 0:00,شخصی,زمین ۳۴۰ متر بنا ۱۲۰ متر دو خواب انشعابات نصب دارای سند تک برگ و پروانه ساخت و پایان کار -  ودارای پارکینگ وانباری وسرویس داخل حیاط ساختمان شخصی ساز زیر نظر بنیاد مسکن کف قیمت ۳۵۰۰۰۰۰۰۰۰ تومان    آدرس  محمودآباد روستای سیاهرودسر- میانکلمرز نسیم ۲۰,فروش ویلا ساحلی ۳۴۰ متر میانکلمرز,,,,,مقطوع,3500000000,,,,,,,,,340,120,single_page,,,دو,,,FALSE,,TRUE,TRUE,۱۳۹۰,,,water_heater,,,heater,split,squat,,,east,,,,carpet,beach,,,,,,,,,500
residential-sell,apartment-sell,ahvaz,padad-phase-2,10/1/2024 0:00,,"چهار واحدی سنتی نوساز وام دار‌.
۴۰۰ میلیون وام مسکن آماده دارد‌.
۴۰۰ میلیون رهن میتونید بدید.

۴۰۰ رهن می‌ره ۴۰۰ وام داره 
ک با نقدینگی یه میلیارد و ۵۵۰ میتونید خونه رو بخرید.
فول امکانات.
تخفیف هم داده میشه.
________
*با خودرو هم معاوضه میشود...
*نگاه داران محترم لطفا مزاحم نشوید..
*جهت برای اطلاعات بیشتر و هماهنگی جهت بازدید تماس بگیرید...",چهار واحدی سنتی نوساز وام دار,,,,,مقطوع,2385000000,,,,,,,,,,90,,,1,دو,,,,FALSE,TRUE,TRUE,۱۴۰۲,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
residential-sell,house-villa-sell,aran-va-bidgol,,9/1/2024 0:00,,منزل مسکونی  همکف دارای شناژ دو خوابه . درب ساختمان. سند تک برگ. ابعاد ۵.۶۰ در ۲۱ میباشد,منزل مسکونی انتهای خیابان دانه گردی. کوچه ششم,,,,,مقطوع,1850000000,,,,,,,,,117,96,single_page,,,دو,,,TRUE,,FALSE,TRUE,۱۳۹۶,FALSE,,water_heater,,,heater,water_cooler,squat_seat,,,north,,,,ceramic,,,,,,,,,,
residential-sell,apartment-sell,tehran,jamalzadeh,10/1/2024 0:00,,"(مشاورین املاک شهریاری شعبه 1 )

75متر 2 خواب
5طبقه 2 واحدی
طبقه چهارم
کابینت mdf
گاز رومیزی و هود
لوکیشن خوب
کف سرامیک
پارکینگ
انباری
بالکن
آسانسور
پکیج
خوش نقشه
آیفون تصویری
نوساز
نما سنگ
تخلیه",75متر*فول امکانات*نوساز,,,,,مقطوع,8600000000,,,,,,,,,,75,,,4,دو,5,2,TRUE,TRUE,TRUE,TRUE,۱۴۰۲,FALSE,,package,,,shoofaj,water_cooler,squat,,,north,,,,ceramic,,,,,,,,35.69844818,51.38764954,
residential-rent,apartment-rent,karaj,kamalshahr,7/1/2024 0:00,,منزل مسکونی آپارتمانی طبقه دوم تک واحد میعاد ۹/۱ کمال شهر,اجاره اپرتمان در کمال شهر,مقطوع,2000000,,,,,مقطوع,150000000,FALSE,FALSE,150000000,,2000000,,,85,,,2,دو,3,2,TRUE,FALSE,FALSE,FALSE,۱۳۹۰,FALSE,,water_heater,,,heater,water_cooler,squat,,,north,,,,ceramic,,,,,,,,35.88576889,50.88184738,
residential-sell,apartment-sell,bandar-abbas,,6/1/2024 0:00,,"آدرس گلشهر بهشت بندر مجتمع اوقاف فاز 1بلوک 1بدون آسانسور 

قیمت کل با احتساب پارکینگ  1/800 هست .که مبلغ ۳۰۰میلیون کسر میشه  و  به عهده خریدار..پرداخت نقدی 1/500
واحد رهن کامل هست مبلغ ۳۰۰میلیون. تا برج ۸
پارکینگ اختصاصی تو سند قید 
بازسازی شده.کف سرامیک و دیوار ها نقاشی شده واحد شیک      سند تک برگ 

عکس واحد موجوده
املاک محترم تماس نگیرد لطفا",آپارتمان ۸۰متری گلشهر مجتمع اوقاف باپارکینگ,,,,,مقطوع,1500000000,,,,,,,,,,80,single_page,,4,دو,4,2,TRUE,FALSE,FALSE,TRUE,۱۳۸۸,TRUE,,water_heater,,,,,squat,,,east,,,,ceramic,,,,,,,,27.2130127,56.34772491,
residential-sell,house-villa-sell,mahmudabad,,6/1/2024 0:00,مشاور املاک,"۲۰۰ متر زمین  ۹۰ متر بنا
دو خواب مستر 
نزدیک خیابان اصلی 
سند تک برگ",ویلا فلت نزدیک خیابان اصلی,,,,,مقطوع,1600000000,,,,,,,,,200,90,single_page,,,دو,,,TRUE,,TRUE,TRUE,۱۴۰۳,,,,,,,,,,,,,,,,jungle,,,,,,,,,500
commercial-rent,office-rent,isfahan,khaneesfahan,9/1/2024 0:00,مشاور املاک,"۱۰۰متری 
دو خوابه 
تک واحدی 
اداری 
لوکیشن خانه اصفهان 
مشاعات متریال لاکچری 
مناسب برا دفتر کار های برند شیک",اداری /دو خوابه /لاکچری,مقطوع,18000000,,rent_credit,,,مقطوع,200000000,FALSE,FALSE,200000000,,18000000,,,100,,,2,دو,,,,TRUE,FALSE,FALSE,۱۴۰۲,,,,,,,,,,,,,,,,,,,,,,,32.70770264,51.62846375,500
residential-sell,plot-old,bandar-kangan,,7/1/2024 0:00,,"فروش سه دانگ از زمین ۳۰۸ متری مسکونی، واگذاری به کارمندان راه و شهرسازی، سند تک برگ، دستور نقشه گرفته شده، دوبر نبش کوچه، ابعاد ۲۲ در ۱۴، قیمت یک و پانصد، تخفیف پای معامله، پاسخگوی مشاورین املاک محترم هستم.
شهرک قائم یک، خیابان قائم، کوچه ۱۳.
***********",فروش سه دانگ از زمین ۳۰۸ متری مسکونی,,,,,مقطوع,1500000000,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.85982132,52.04753113,
residential-sell,apartment-sell,tehran,south-janat-abad,7/1/2024 0:00,مشاور املاک,"۷۰متر /دوخواب /طبقه همکف /جنت آباد جنوبی 
انباری بالکن 
بدون پرتی 

نما سنگ 
نور و‌نقشه بینظیر 

کم واحد 
مشاعات عالی 

بهترین لوکیشن منطقه 

مالک فروشنده 
سالن بزرگ و دلباز 

دارای اتاق خواب های بزرگ 

دارای کمد دیواری جادار 

زیر قیمت ترین واحد موجود در منطقه 
فرصت طلایی جهت خرید 

مشاور حقوقی و کارشناس تخصصی منطقه 
قشقایی 

همکاری ما با شما کاملا صادقانه خواهد بود 

املاک بزرگ نوین قشقایی دارای سابقه درخشان در امور ملکی",۷۰متر دوخواب /فول بازسازی /جنت آباد جنوبی,,,,,مقطوع,6500000000,,,,,,,,,,70,single_page,,0,دو,4,3,TRUE,FALSE,TRUE,FALSE,۱۳۸۲,,,package,,,shoofaj,water_cooler,squat_seat,,,south,,,,laminate_parquet,,,,,,,,,,500
